Key doors report (locked door itemids)
count: 362
x,y,z,itemid,actionid,uniqueid,keynumber
32804,31585,1,1212,0,0,0
33096,32523,1,1249,0,0,0
33102,32529,1,1252,0,0,0
33038,32621,1,1249,0,0,0
33044,32629,1,1252,0,0,0
32587,31931,2,1212,0,0,0
32593,31939,2,1209,0,0,0
33102,32520,2,1249,0,0,0
33100,32522,2,1252,0,0,0
32639,31906,3,1212,0,0,0
32645,31906,3,1212,0,0,0
32636,31911,3,1209,0,0,0
32625,31917,3,1212,0,0,0
32624,31929,3,1212,0,0,0
32639,31929,3,1212,0,0,0
33100,32526,3,1252,0,0,0
33101,32526,3,1252,0,0,0
33103,32526,3,1252,0,0,0
33104,32526,3,1252,0,0,0
33049,32627,3,1252,0,0,0
33046,32633,3,1249,0,0,0
32797,31592,4,1212,0,0,0
33210,31792,4,1209,0,0,0
33212,31792,4,1209,0,0,0
33210,31795,4,1209,0,0,0
33212,31795,4,1209,0,0,0
33210,31798,4,1209,0,0,0
33212,31798,4,1209,0,0,0
33210,31801,4,1209,0,0,0
33212,31801,4,1209,0,0,0
33210,31804,4,1209,0,0,0
33212,31804,4,1209,0,0,0
33210,31807,4,1209,0,0,0
33212,31807,4,1209,0,0,0
33211,31813,4,1209,0,0,0
32479,31903,4,1212,0,0,0
32173,31927,4,1212,0,0,0
32345,32182,4,1209,0,0,0
33108,32523,4,1252,0,0,0
33106,32524,4,1249,0,0,0
33106,32529,4,1249,0,0,0
33106,32530,4,1249,0,0,0
33039,32620,4,1249,0,0,0
33037,32622,4,1252,0,0,0
33045,32632,4,1249,0,0,0
31943,31709,5,1209,0,0,0
33167,31787,5,1212,0,0,0
33168,31787,5,1212,0,0,0
33192,31807,5,1212,0,0,0
32634,31920,5,1212,0,0,0
32974,32037,5,1209,0,0,0
32978,32042,5,1209,0,0,0
33015,32057,5,1212,0,0,0
32991,32062,5,1209,0,0,0
32991,32065,5,1209,0,0,0
32991,32068,5,1209,0,0,0
32887,32076,5,1209,0,0,0
32884,32079,5,1212,0,0,0
32978,32083,5,1209,0,0,0
32970,32084,5,1212,0,0,0
32980,32084,5,1212,0,0,0
32890,32086,5,1212,0,0,0
32979,32087,5,1209,0,0,0
32957,32090,5,1212,0,0,0
32961,32090,5,1212,0,0,0
